ID001,ItemOne,120.5,2024-01-15
ID002,ItemTwo,300,2024-02-10
ID003,ItemThree,450.75,2024-03-05
ID004,ItemFour,89,2024-04-12
ID005,ItemFive,1000,2024-05-01
ID006,ItemSix,55.5,2024-06-18
ID007,ItemSeven,780
ID008,ItemEight,920.25,2024-07-20
ID009,ItemNine,invalid_value,2024-08-01
ID010,,500,2024-09-10
,ItemEleven,250,2024-10-05
ID012,ItemTwelve,640,invalid_date
ID013,ItemThirteen,310.40,2024-11-11
InvalidLineWithoutProperFormat
ID014,ItemFourteen,150,2024-12-25
ID015,ItemFifteen,75
ID016,ItemSixteen,880.8,2024-01-01
ID017,ItemSeventeen,45,2024-02-02
ID018,ItemEighteen,510.5
ID019,ItemNineteen,670,2024-03-03
ID020,ItemTwenty,999.99,2024-04-04
